"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","28/146","105/18862",7.52150939297501e-36,1.55243953871004e-32,1.43700416297365e-32,"6233/9349/6164/6138/6727/23521/6152/6143/6176/6206/6165/6208/6135/6194/6160/9045/6230/6147/6125/6191/6161/6156/6207/6224/6188/6124/11224/6205",28
"BP","GO:0006613","cotranslational protein targeting to membrane","28/146","110/18862",3.2726939833735e-35,3.37742019084145e-32,3.12628398938048e-32,"6233/9349/6164/6138/6727/23521/6152/6143/6176/6206/6165/6208/6135/6194/6160/9045/6230/6147/6125/6191/6161/6156/6207/6224/6188/6124/11224/6205",28
"BP","GO:0045047","protein targeting to ER","28/146","120/18862",4.95668336498734e-34,3.41019815511129e-31,3.15662466928141e-31,"6233/9349/6164/6138/6727/23521/6152/6143/6176/6206/6165/6208/6135/6194/6160/9045/6230/6147/6125/6191/6161/6156/6207/6224/6188/6124/11224/6205",28
"BP","GO:0072599","establishment of protein localization to endoplasmic reticulum","28/146","124/18862",1.36607161585099e-33,7.04892953779111e-31,6.52478942834091e-31,"6233/9349/6164/6138/6727/23521/6152/6143/6176/6206/6165/6208/6135/6194/6160/9045/6230/6147/6125/6191/6161/6156/6207/6224/6188/6124/11224/6205",28
"BP","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","27/146","120/18862",2.33824067826149e-32,9.65225751986343e-30,8.93454069693601e-30,"6233/9349/6164/6138/23521/6152/6143/6176/6206/6165/6208/6135/6194/6160/9045/6230/6147/6125/6191/6161/6156/6207/6224/6188/6124/11224/6205",27
"BP","GO:0070972","protein localization to endoplasmic reticulum","28/146","152/18862",6.60215470662918e-31,2.27114121908044e-28,2.1022650513214e-28,"6233/9349/6164/6138/6727/23521/6152/6143/6176/6206/6165/6208/6135/6194/6160/9045/6230/6147/6125/6191/6161/6156/6207/6224/6188/6124/11224/6205",28
"BP","GO:0006612","protein targeting to membrane","29/146","211/18862",3.90954151723682e-28,1.15275624165383e-25,1.06704027876464e-25,"6233/9349/6164/6138/6727/23521/6152/6143/6176/6206/6165/6208/6135/6194/6160/9045/6230/6147/6125/6191/6161/6156/6207/6224/6188/6124/9847/11224/6205",29
"BP","GO:0006413","translational initiation","28/146","193/18862",7.45725189875206e-28,1.92397098987803e-25,1.7809094995046e-25,"6233/9349/6164/6138/23521/6152/6143/6176/6206/6165/6208/6135/6194/6160/9045/6230/6147/6125/6191/6161/6156/6207/6224/6188/6124/11224/10209/6205",28
"BP","GO:0019083","viral transcription","27/146","180/18862",2.80040756387607e-27,6.42226801315579e-25,5.94472482857903e-25,"6233/9349/6164/6138/23521/6152/6143/6176/6206/6165/6208/6135/6194/6160/9045/6230/6147/6125/6191/6161/6156/6207/6224/6188/6124/11224/6205",27
"BP","GO:0000956","nuclear-transcribed mRNA catabolic process","28/146","208/18862",6.46439266952889e-27,1.33425064699076e-24,1.23503923107315e-24,"11340/6233/9349/6164/6138/23521/6152/6143/6176/6206/6165/6208/6135/6194/6160/9045/6230/6147/6125/6191/6161/6156/6207/6224/6188/6124/11224/6205",28
"BP","GO:0019080","viral gene expression","27/146","198/18862",3.9973775387889e-26,7.50053385460026e-24,6.94281362000177e-24,"6233/9349/6164/6138/23521/6152/6143/6176/6206/6165/6208/6135/6194/6160/9045/6230/6147/6125/6191/6161/6156/6207/6224/6188/6124/11224/6205",27
"BP","GO:0006605","protein targeting","33/146","441/18862",2.44790367720645e-23,4.21039432479509e-21,3.89732032818395e-21,"6233/9349/6164/6138/6727/23521/6152/6143/6176/6206/6165/6208/3295/6135/6194/6160/7316/9045/6230/6147/6125/6191/6161/6156/6207/6224/6188/6124/9847/11224/6205/9804/54543",33
"BP","GO:0006402","mRNA catabolic process","31/146","375/18862",3.19244373708018e-23,5.06861836410269e-21,4.69172905489922e-21,"11340/6233/9349/6164/6138/23521/6152/6143/6176/6206/6165/6208/6135/6194/6160/7316/9045/6230/6147/6125/6191/6161/6156/6207/6224/6188/6124/5717/11224/6205/9698",31
"BP","GO:0090150","establishment of protein localization to membrane","30/146","354/18862",8.5439068482378e-23,1.25961598105449e-20,1.16595420522944e-20,"6233/9349/6164/6138/6727/23521/6152/6143/6176/6206/6165/6208/6135/6194/6160/9045/6230/6147/6125/6191/6161/6156/6207/6224/6188/6124/9847/64112/11224/6205",30
"BP","GO:0006401","RNA catabolic process","31/146","414/18862",6.13051855640689e-22,8.43559353361588e-20,7.80834468763404e-20,"11340/6233/9349/6164/6138/23521/6152/6143/6176/6206/6165/6208/6135/6194/6160/7316/9045/6230/6147/6125/6191/6161/6156/6207/6224/6188/6124/5717/11224/6205/9698",31
