"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0006119","oxidative phosphorylation","7/32","148/18862",4.53445278047365e-09,5.76782393676248e-06,3.89962939120734e-06,"11315/4535/4509/4513/4519/4538/4536",7
"BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport","6/32","99/18862",1.45540386027777e-08,6.55702607038921e-06,4.43320945010591e-06,"11315/4535/4513/4519/4538/4536",6
"BP","GO:0042773","ATP synthesis coupled electron transport","6/32","100/18862",1.54646841282764e-08,6.55702607038921e-06,4.43320945010591e-06,"11315/4535/4513/4519/4538/4536",6
"BP","GO:0022904","respiratory electron transport chain","6/32","117/18862",3.97654691196567e-08,1.26454191800508e-05,8.5495758607262e-06,"11315/4535/4513/4519/4538/4536",6
"BP","GO:0022900","electron transport chain","6/32","178/18862",4.79821309086177e-07,0.000122066541031523,8.25292651628224e-05,"11315/4535/4513/4519/4538/4536",6
"BP","GO:0045333","cellular respiration","6/32","187/18862",6.40866062719949e-07,0.000135863605296629,9.18574689898593e-05,"11315/4535/4513/4519/4538/4536",6
"BP","GO:0046034","ATP metabolic process","7/32","313/18862",7.63833052691519e-07,0.000138799377574802,9.38423464735295e-05,"11315/4535/4509/4513/4519/4538/4536",7
"BP","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","4/32","55/18862",2.18938179563663e-06,0.000348111705506224,0.000235358543030938,"11315/4535/4538/4536",4
"BP","GO:1902600","proton transmembrane transport","5/32","157/18862",6.29492886812436e-06,0.000811165913527791,0.000548429784303381,"11315/4509/4513/4519/4538",5
"BP","GO:0015980","energy derivation by oxidation of organic compounds","6/32","278/18862",6.37709051515559e-06,0.000811165913527791,0.000548429784303381,"11315/4535/4513/4519/4538/4536",6
"BP","GO:0009409","response to cold","3/32","47/18862",6.8363038478472e-05,0.00790525317678331,0.00534474664468054,"4513/2308/27344",3
"BP","GO:0010257","NADH dehydrogenase complex assembly","3/32","65/18862",0.000180377745745372,0.016544599534518,0.0111858141506961,"4535/4538/4536",3
"BP","GO:0032981","mitochondrial respiratory chain complex I assembly","3/32","65/18862",0.000180377745745372,0.016544599534518,0.0111858141506961,"4535/4538/4536",3
"BP","GO:0046689","response to mercury ion","2/32","12/18862",0.000182094648964821,0.016544599534518,0.0111858141506961,"11315/4519",2
"BP","GO:0031016","pancreas development","3/32","73/18862",0.000254485398074552,0.021580361756722,0.0145904961562743,"2308/3642/3670",3
"BP","GO:1901654","response to ketone","4/32","193/18862",0.000305321022159679,0.0242730212616945,0.0164110049410828,"4678/11315/2308/54331",4
"BP","GO:0030073","insulin secretion","4/32","207/18862",0.000398214243812143,0.0291516472186699,0.0197094470189121,"11315/1946/846/3670",4
"BP","GO:0009060","aerobic respiration","3/32","86/18862",0.00041252330969816,0.0291516472186699,0.0197094470189121,"4535/4513/4538",3
"BP","GO:1901655","cellular response to ketone","3/32","92/18862",0.000502719641020125,0.0313936880906374,0.0212252922625379,"11315/2308/54331",3
"BP","GO:0009713","catechol-containing compound biosynthetic process","2/32","20/18862",0.000519786713134516,0.0313936880906374,0.0212252922625379,"11315/3642",2
"BP","GO:0042423","catecholamine biosynthetic process","2/32","20/18862",0.000519786713134516,0.0313936880906374,0.0212252922625379,"11315/3642",2
"BP","GO:0009266","response to temperature stimulus","4/32","228/18862",0.000573224408643453,0.0313936880906374,0.0212252922625379,"4513/2308/27344/4519",4
"BP","GO:0042593","glucose homeostasis","4/32","229/18862",0.00058272325938106,0.0313936880906374,0.0212252922625379,"11315/1946/846/2308",4
"BP","GO:0033500","carbohydrate homeostasis","4/32","230/18862",0.000592333737559196,0.0313936880906374,0.0212252922625379,"11315/1946/846/2308",4
"BP","GO:0055093","response to hyperoxia","2/32","22/18862",0.000630613938686143,0.0320856372003509,0.0216931194908033,"2308/4519",2
"BP","GO:0033108","mitochondrial respiratory chain complex assembly","3/32","101/18862",0.000660260629882172,0.0323019815850047,0.0218393900653334,"4535/4538/4536",3
"BP","GO:0002021","response to dietary excess","2/32","23/18862",0.000689941357190312,0.0325039039387436,0.0219759098956914,"6653/27344",2
"BP","GO:0030072","peptide hormone secretion","4/32","247/18862",0.00077351982896997,0.0351399008017787,0.0237581090326491,"11315/1946/846/3670",4
"BP","GO:0031667","response to nutrient levels","5/32","451/18862",0.000903195699765829,0.0396160320724874,0.0267844241999522,"6653/846/2308/27344/4519",5
"BP","GO:0036296","response to increased oxygen levels","2/32","29/18862",0.00110016805507709,0.0461130556636264,0.0311770659360996,"2308/4519",2
"BP","GO:0035270","endocrine system development","3/32","122/18862",0.0011418321137158,0.0461130556636264,0.0311770659360996,"2308/3642/3670",3
"BP","GO:0009991","response to extracellular stimulus","5/32","477/18862",0.00116007687204092,0.0461130556636264,0.0311770659360996,"6653/846/2308/27344/4519",5
"BP","GO:0016486","peptide hormone processing","2/32","32/18862",0.0013397875239988,0.0516427191068628,0.0349156748678475,"27344/5122",2
"BP","GO:0140448","signaling receptor ligand precursor processing","2/32","33/18862",0.00142471724492554,0.0533011863395673,0.0360369656069402,"27344/5122",2
